question,context,answer_text
Who thinkns Flags are Fun,"Together: Fun with flags, fun with flags. : It’s fun with flags, behind the flags, a retrospective. Flags. Together: Fun with Flags: Behind the Flags: A Retrospective. Together: Fun with Flags: Behind the Behind the Flags: A Retrospective Retrospective. Together: Fun with flags. Amy: …spoiled astrophysicist who not only… oh. Well, that was quick. Hi. You’re on Fun with Flags. Amy: Oh. Hello, you’re on Fun with Flags. Together: Dr. Sheldon Cooper’s Fun With Flags. Both: Dr. Sheldon Cooper’s Fun with Flags. Amy: Sheldon, I am not doing Fun With Flags with you. Sheldon: Now, today’s episode of Fun with Flags is not fun, but it is important. Flags: you gotta know how to hold ’em, you gotta know how to fold ’em. Let’s start by identifying the parts of our flag. This edge is the hoist, and it’s used to… Amy: Oh. Uh, we-we have another caller. Hi. You’re on Fun with Flags. Howard: Oh say can you see, it’s fun with flags. Amy: Now, I’m sure many of you are wondering how Fun with Flags began. Scene: Amy’s apartment. Amy is watching Fun With Flags. Sheldon: A precocious little Internet show known as Fun With Flags. Sheldon: Good news. Uh, the latest episode of Fun with Flags is online. : For joy and fun there’s no better manner than to fly a pennant flag or banner. Sheldon: Fun and information are two sides to this video podcast, not unlike the only two-sided state flag, Oregon. Oh, look. Hello, Mr. Beaver. In future episodes, we’ll answer some burning questions. What’s the only non-rectangular flag? What animal appears most often on flags? What animal appears second most often on flags? And more. Amy: People who are fans of an Internet show about flags? Trust me, they’re around.",Sheldon
Who designed the show Fun with Flags,"Together: Fun with flags, fun with flags. Sheldon: A precocious little Internet show known as Fun With Flags. : It’s fun with flags, behind the flags, a retrospective. Flags. Together: Fun with Flags: Behind the Flags: A Retrospective. Together: Fun with Flags: Behind the Behind the Flags: A Retrospective Retrospective. Amy: People who are fans of an Internet show about flags? Trust me, they’re around. Together: Fun with flags. Amy: …spoiled astrophysicist who not only… oh. Well, that was quick. Hi. You’re on Fun with Flags. Amy: Oh. Hello, you’re on Fun with Flags. Amy: Did you know that the flag was designed by a student named Edrice Lewis… Together: Dr. Sheldon Cooper’s Fun With Flags. Both: Dr. Sheldon Cooper’s Fun with Flags. Amy: Sheldon, I am not doing Fun With Flags with you. Sheldon: Now, today’s episode of Fun with Flags is not fun, but it is important. Flags: you gotta know how to hold ’em, you gotta know how to fold ’em. Let’s start by identifying the parts of our flag. This edge is the hoist, and it’s used to… Amy: Oh. Uh, we-we have another caller. Hi. You’re on Fun with Flags. Howard: Oh say can you see, it’s fun with flags. Amy: I know I was thinking that. Is this a show on flags or mind reading? Sheldon: Too bad your show is done. I kind of liked it. Leonard, did you hear that? Oh, the people are heartbroken. I can’t take this away from the world. Fun with Flags is back. Amy: Now, I’m sure many of you are wondering how Fun with Flags began. Scene: Amy’s apartment. Amy is watching Fun With Flags.",Sheldon
Where is the wedding for Penny and Leonard,"Penny: Really? For a wedding? Penny: Ames, hi. How was the wedding? Penny: We had one of those silly fake weddings. Minister: Do you, Penny, take Leonard to be your lawful wedded husband? Leonard: It’s not just the date. We haven’t talked about anything. Big wedding, small wedding, indoor, outdoor? Penny: To be honest, I’m surprised you cared about the wedding at all. Penny: Okay, fine, but why would you invite him to our wedding? Leonard: Hey, how go the wedding plans, Howard? Leonard: I asked you over and over if you were okay. Why would you go through with the wedding if you weren’t? Scene: (In her imagination, Penny is transported to her wedding day.) Penny: Okay, wait, you’re inviting people to our wedding? Penny: Sheldon, I can’t believe you got us a wedding gift. Dr Hofstadter: So, have you and Penny set a wedding date? Scene: The wedding. Leonard: Mmm, you liked Professor Guyster’s wedding. Leonard: Can’t believe I’m spending my wedding night with you. Leonard: If the wedding’s not until tomorrow, why don’t you stay with us tonight? Penny: I’m so glad you talked Howard out of having your wedding invitations in Klingon. Penny: Okay, Howard’s mother is in, like, every one of your wedding photos. Howard: Then you’re not invited to our wedding.",Las Vegas
Where did Penny and Leonard marry,"Sheldon: Leonard, where did you envision marrying Penny? Penny: Okay. Leonard, will you marry me? Leonard: Marry you? Penny: Uh, actually I’m in Vegas. Leonard and I are about to get married. Penny: Ooh. Leonard Hofstadter, will you marry me? Leonard: Yeah, uh, um, Penny and I got married. Penny: Sorry, they’re both married. Penny: No. Sheldon, we’re getting married. Penny: I had to: we’re married now. Penny: And sometimes we marry them anyway. Sheldon: Leonard, have you gotten married yet? Leonard: So, we’re still getting married? Penny: I get that, okay? It’s just, Leonard and I have been married for two years, and we’re no further along than when we were dating. Penny: Good luck. I threw out all my tall ones when I married Leonard. Penny: Well, hello? She’s married. Penny: I don’t know. We could get married. Penny: We’re married. We’re supposed to share everything. Penny: That’s what you took from that? The guy is married! Amy: So, Penny, how’s married life? Leonard: I’ve had it for a couple years, not important. Penny, will you marry me?",Las Vegas
Where did Penny and Leonard's wedding take place,,Las Vegas
Penny and Leonard's wedding take place in,,Las Vegas
Who tried masturbating for money,"Sheldon: Well, today we tried masturbating for money. Howard: Who had money on faints? Leonard: You betrayed us for money, who are you? Leonard: Yeah, I’m sorry, too. We’re about to share the rest of our lives together. It’s our money, who cares who has it? Penny: Bert, you’re a good guy, you deserve a woman who’s interested in more than just your money. Howard: It’s not about the money. It’s about solving a problem. It’s why I became an engineer. It’s what I like to do, it’s what I’m trained to do. It’s who I am. Leonard: I tried to stop you. Howard: I tried. Raj: No, you didn’t. Okay? Look, Bert, when I had money, I dated lots of girls who weren’t right for me. And then I gave up my money, and now I’m alone and living with my friends, and somebody else should probably talk now. Leonard: You know what, why don’t you just do it? You’ll go have fun for a few weeks, make some money, and who knows what it might lead to? Raj: Oh, come on. You deserve one. You’ve worked hard to find a woman who makes a lot of money. Howard: Yeah, you’re a grown man who’s highly educated. You could charge people money to punch you. Amy: Yes. He looks much cooler than the non-smoking monkeys. Although it’s not much of a contest. The other monkeys just sit around and masturbate. Penny: Ugh, You’re right, who cares? Mm. Get that money out of my back pocket or I will break your fingers. Howard: Have you tried rebooting him? Raj: Have you tried anything to fix it? Amy: It’s so cute when she tries. Leonard: All right, I tried. Mrs Latham: Oh, I don’t know, it’s one of the fun things you get to do when you have lots of money. Watch. Hey! Who said you could eat that shrimp? See? Fun. Leonard: It’s not about money.",Sheldon
Who taught a lesson in MIT in 1974,"Howard: It’s a Stephen Hawking lecture from MIT in 1974. Sheldon: Hey, you taught me something. Who would have thought it? Sheldon: I taught her that. Amy: Mit… Bernadette: Which MIT did you go to? Leonard: Something his mother taught him. Colonel Williams: MIT. Howard: For this I went to MIT. Amy: You know, I like harp lessons, but I’m thinking of switching to elevator repair lessons. What are you working on? Sheldon: Oh, I learned how. Amy taught me. Howard: You had to be taught not to play with cobras? Penny: Did you take dance lessons? Amy: Did I? Are you gonna teach me a lesson? Penny: You want an acting lesson? Penny: Yes. He taught he taw a Romulan. Howard: I’m sad to say I taught him those moves. Raj: You had to be taught not to burn down the forest? Penny: Hmm, how about, gee, Penny, you’re smarter than I thought. You may be the one in school, but I’m the one who learned a lesson. I’m so stupid, Penny. Duh. Okay, Tweetie Bird, taught he taw a what? Leonard: I heard about this professor at MIT who melted down, bought a van, and spent the rest of his life as a mobile dog groomer.",Stephen Hawking
Who taught a lecture in MIT in 1974,"Howard: It’s a Stephen Hawking lecture from MIT in 1974. Sheldon: Hey, you taught me something. Who would have thought it? Sheldon: I taught her that. Amy: Mit… Bernadette: Which MIT did you go to? Leonard: Something his mother taught him. Penny: A lot of lectures? Howard: So, how’d the lecture go? Colonel Williams: MIT. Howard: For this I went to MIT. Sheldon: Oh, I learned how. Amy taught me. Howard: You had to be taught not to play with cobras? Sheldon: Did you enjoy my lecture? Amy: I have a DVD of that lecture. Scene: A lecture hall. Penny: Yes. He taught he taw a Romulan. Howard: I’m sad to say I taught him those moves. Raj: You had to be taught not to burn down the forest? Scene: A lecture room at the university. Okay, Tweetie Bird, taught he taw a what?",Stephen Hawking
"In 1974, who in MIT gave a lecture","Howard: It’s a Stephen Hawking lecture from MIT in 1974. Leonard: Sheldon gave a lecture at the university tonight. We’re reading the reviews. Penny: Yeah, yeah, my mom gave me the same lecture about my virginity. Gotta tell you, it was a lot more fun taking it out and playing with it. Amy: Mit… Bernadette: Which MIT did you go to? Amy: Yes, who do you think gave him the danger whistle? Penny: A lot of lectures? Howard: So, how’d the lecture go? Colonel Williams: MIT. Howard: For this I went to MIT. Sheldon: Did you enjoy my lecture? Amy: I have a DVD of that lecture. Scene: A lecture hall. Scene: A lecture room at the university. Leonard: I heard about this professor at MIT who melted down, bought a van, and spent the rest of his life as a mobile dog groomer. Sheldon: Wolowitz went to MIT. What’s your educational background? Leonard: Yes, we missed our lecture, we were almost arrested, and you got me locked in a room with a man who forced his tongue down the throat of a stuffed Wookiee. Howard: Thanks, honey, but I can’t quit. If I do, I’ll just be a guy who had a chance to be an astronaut and gave it up. Kripke: Gave it to her good, huh? Leonard: The one I gave you?",Stephen Hawking
How many consonants are in the Hawaiian language,"Sheldon: Do you know there are only eight consonants in the Hawaiian language. : I’ll bring them up with some Hawaiian Punch! Raj: Now can we have cookies and Hawaiian Punch? Sheldon: Is this the fellow who peed in your Hawaiian Punch? Raj: Right now, all I can think about is cookies and Hawaiian Punch. Sheldon: Forgive my language, but poppycock. Sheldon: English is your native language. Raj: If I could speak the language of rabbits, they would be amazed, and I would be their king. Howard: I speak sign language, I don’t read minds. Sheldon: Couple things, actually. Your tone of voice, your body language… Penny: I just told her you’re an aerospace engineer, you speak five languages… Sheldon: That’s what you did. I assumed as in a number of languages that the gesture was part of the phrase. Howard: It’s French for good shower. It’s a sentiment I can express in six languages. Amy: That lab monkey told me he loved me in sign language. Sheldon: Well, I could deduce by his facial expression and body language that he was sad. Sheldon: It’s not Elvish. It’s the language of Mordor written in Elvish script. One Ring to Sheldon: I really have no idea. I don’t particularly excel at reading facial expressions, body language… Leonard: Mm, you know, that I didn’t travel more, take more risks, learn another language. Sheldon: No. As a fight, it was excellent. She used harsh language and slammed the door. Although as I say this, that might not have been what you were asking. Amy: We’ll make popcorn, stay up all night and I’ll teach you my secret language, Op.",eight
How many consonants are there in the Hawaiian language,"Sheldon: Do you know there are only eight consonants in the Hawaiian language. : I’ll bring them up with some Hawaiian Punch! Raj: Now can we have cookies and Hawaiian Punch? Sheldon: Is this the fellow who peed in your Hawaiian Punch? Raj: Right now, all I can think about is cookies and Hawaiian Punch. Sheldon: Forgive my language, but poppycock. Sheldon: English is your native language. Raj: If I could speak the language of rabbits, they would be amazed, and I would be their king. Howard: I speak sign language, I don’t read minds. Sheldon: Couple things, actually. Your tone of voice, your body language… Penny: I just told her you’re an aerospace engineer, you speak five languages… Sheldon: That’s what you did. I assumed as in a number of languages that the gesture was part of the phrase. Howard: It’s French for good shower. It’s a sentiment I can express in six languages. Amy: That lab monkey told me he loved me in sign language. Sheldon: Well, I could deduce by his facial expression and body language that he was sad. Sheldon: It’s not Elvish. It’s the language of Mordor written in Elvish script. One Ring to Sheldon: I really have no idea. I don’t particularly excel at reading facial expressions, body language… Leonard: Mm, you know, that I didn’t travel more, take more risks, learn another language. Sheldon: No. As a fight, it was excellent. She used harsh language and slammed the door. Although as I say this, that might not have been what you were asking. Amy: We’ll make popcorn, stay up all night and I’ll teach you my secret language, Op.",eight
Hawaiian language has how many consonants,"Sheldon: Do you know there are only eight consonants in the Hawaiian language. : I’ll bring them up with some Hawaiian Punch! Raj: Now can we have cookies and Hawaiian Punch? Sheldon: Is this the fellow who peed in your Hawaiian Punch? Raj: Right now, all I can think about is cookies and Hawaiian Punch. Sheldon: Forgive my language, but poppycock. Sheldon: English is your native language. Raj: If I could speak the language of rabbits, they would be amazed, and I would be their king. Howard: I speak sign language, I don’t read minds. Sheldon: Couple things, actually. Your tone of voice, your body language… Penny: I just told her you’re an aerospace engineer, you speak five languages… Sheldon: That’s what you did. I assumed as in a number of languages that the gesture was part of the phrase. Howard: It’s French for good shower. It’s a sentiment I can express in six languages. Amy: That lab monkey told me he loved me in sign language. Sheldon: Well, I could deduce by his facial expression and body language that he was sad. Sheldon: It’s not Elvish. It’s the language of Mordor written in Elvish script. One Ring to Sheldon: I really have no idea. I don’t particularly excel at reading facial expressions, body language… Leonard: Mm, you know, that I didn’t travel more, take more risks, learn another language. Sheldon: No. As a fight, it was excellent. She used harsh language and slammed the door. Although as I say this, that might not have been what you were asking. Amy: We’ll make popcorn, stay up all night and I’ll teach you my secret language, Op.",eight
Who had a masters in engineering,"Howard: Sheldon, there’s a diploma in my office that says I have a masters in engineering. Howard: I don’t have homework. I’m a grown man with a master’s degree in engineering! Howard: Sheldon, I have a master’s degree in engineering. I wipe my bottom with warranties. Except for AppleCare. That pays for itself in the long run. Howard: I could also be the engineer who builds the crossbow that kills Sheldon. Howard: Excuse me, I have a master’s degree in engineering from the Massachusetts Institute of Technology. It required the completion of 144 units of grad work and an original thesis. Howard: It’s not about the money. It’s about solving a problem. It’s why I became an engineer. It’s what I like to do, it’s what I’m trained to do. It’s who I am. Howard: I have a master’s degree. Howard: Troll master. Howard: I have a Masters degree from M.I.T. Sheldon: Perhaps two. I’d like to master the craft. Howard: Don’t you think I should answer the engineering questions? I am an engineer. Leonard: Howard, this is big science. You could be the engineer who builds the equipment that puts us on the cover of magazines. Penny: Nothing. The engine does that sometimes. Sheldon: I’ll leave it up to the dungeon master. Howard: The dungeon master’s supposed to roll. Sheldon: I’m fine. Although I’m no longer the master of my own bladder. Howard: Yeah, sure. In fact, I’m a dungeon master. : So, this is engineering, huh? Colonel Williams: Better. I’m an engineer. Bernadette: Maybe you should master glue before you move on to fire.",Howard
Who had a masters degree in engineering,"Howard: I don’t have homework. I’m a grown man with a master’s degree in engineering! Howard: I have a master’s degree. Howard: I have a Masters degree from M.I.T. Howard: Sheldon, I have a master’s degree in engineering. I wipe my bottom with warranties. Except for AppleCare. That pays for itself in the long run. Sheldon: I have a master’s degree and two doctorates. The things I should know, I do know. Howard: Excuse me, I have a master’s degree in engineering from the Massachusetts Institute of Technology. It required the completion of 144 units of grad work and an original thesis. Amy: I doubt you’d understand. Sheldon tells me you only have a master’s degree. Howard: Sheldon, there’s a diploma in my office that says I have a masters in engineering. Sheldon: I must say, Howard, I think a detailed letter to MIT describing your current circumstances might entitle you to a refund on your master’s degree. Howard: I could also be the engineer who builds the crossbow that kills Sheldon. Howard: It’s not about the money. It’s about solving a problem. It’s why I became an engineer. It’s what I like to do, it’s what I’m trained to do. It’s who I am. Howard: Troll master. : It’s just two degrees, Sheldon. I just want to turn up the thermostat two degrees! Sheldon: Perhaps two. I’d like to master the craft. Howard: Don’t you think I should answer the engineering questions? I am an engineer. Leonard: Howard, this is big science. You could be the engineer who builds the equipment that puts us on the cover of magazines. Sheldon: Heated to 180 degrees? Penny: Nothing. The engine does that sometimes. Sheldon: I’ll leave it up to the dungeon master. Howard: The dungeon master’s supposed to roll.",Howard
Who repairs satellites,"Model: I think we have satellite. Howard: It’s smashed beyond repair, what are you going to do with it? Sheldon: Satellites are down. Solar flares. Howard: So, what do you say, you wanna repair to Castle Wolowitz? Bernadette: Hey, Romeo. Repair your relationship on your own time. Howard: You could put it in a satellite or a rocket, and it’ll run forever. Leonard: She was mad at him. She was done with him, the relationship was broken beyond repair and I walked over there and I fixed it! No, that baby’s broken. Amy: You know, I like harp lessons, but I’m thinking of switching to elevator repair lessons. What are you working on? Howard: Good news. I made it onto the team for the new Defence Department laser-equipped surveillance satellite. Howard: That, dear lady, is the Wolowitz Programmable Hand, designed for extravehicular repairs on the International Space Station. Leonard: Well, you skip over any attempt to repair your emotional connection and you win back her affection with an empty financial gesture. Howard: Okay, so we know we’re going to do it Sunday morning. Now we need to find a good place for the satellite to see us. Penny: Okay. What artificial satellite has seen glimpses of Einsteins predicted frame dragging? (Raj buzzes.) Penny: With a heavy heart, Amelia stood before the newly repaired time machine. She regretted giving Cooper the part he needed. Raj: Well, if that’s the case, Penny will have to get satellite TV and maybe once a week run a vacuum through this place. Alicia: Yeah, that’s what I figured. Well, got to run, the guys promised to set up my satellite dish and paint my bedroom. Yay! Raj: Hell Hounds. Who let the Satanic dogs out? Who? Who-who? Sheldon: A breakup would imply she was my girlfriend. She was a girl who was my friend who is now a girl who is not my friend. Leonard: Really? This is going to decide who’s the hero and who’s the sidekick?",Howard
Who repairs satellites regularly,"Model: I think we have satellite. Howard: It’s smashed beyond repair, what are you going to do with it? Sheldon: Satellites are down. Solar flares. Howard: So, what do you say, you wanna repair to Castle Wolowitz? Bernadette: Hey, Romeo. Repair your relationship on your own time. Howard: You could put it in a satellite or a rocket, and it’ll run forever. Leonard: She was mad at him. She was done with him, the relationship was broken beyond repair and I walked over there and I fixed it! No, that baby’s broken. Amy: You know, I like harp lessons, but I’m thinking of switching to elevator repair lessons. What are you working on? Sheldon: Not my problem. I just don’t understand how this happened to me. I’m scrupulous about my hygiene. I regularly disinfect my hands, and I avoid contact with other people on general principle. Howard: Good news. I made it onto the team for the new Defence Department laser-equipped surveillance satellite. Howard: That, dear lady, is the Wolowitz Programmable Hand, designed for extravehicular repairs on the International Space Station. Penny: It stung Amelia when he spoke to her this way. In her little one-room schoolhouse, she was always the smartest student, regularly besting the boys in her class, but this was no boy in front of her, this was a man. Leonard: Well, you skip over any attempt to repair your emotional connection and you win back her affection with an empty financial gesture. Howard: Okay, so we know we’re going to do it Sunday morning. Now we need to find a good place for the satellite to see us. Penny: Okay. What artificial satellite has seen glimpses of Einsteins predicted frame dragging? (Raj buzzes.) Penny: With a heavy heart, Amelia stood before the newly repaired time machine. She regretted giving Cooper the part he needed. Raj: Well, if that’s the case, Penny will have to get satellite TV and maybe once a week run a vacuum through this place. Alicia: Yeah, that’s what I figured. Well, got to run, the guys promised to set up my satellite dish and paint my bedroom. Yay! Raj: Hell Hounds. Who let the Satanic dogs out? Who? Who-who?",Howard
Who has a masters in engineering and repairs satellites regularly,"No, that baby’s broken. Howard: Sheldon, there’s a diploma in my office that says I have a masters in engineering. Howard: I don’t have homework. I’m a grown man with a master’s degree in engineering! Howard: Sheldon, I have a master’s degree in engineering. I wipe my bottom with warranties. Except for AppleCare. That pays for itself in the long run. Howard: I could also be the engineer who builds the crossbow that kills Sheldon. Model: I think we have satellite. Howard: It’s smashed beyond repair, what are you going to do with it? Howard: Excuse me, I have a master’s degree in engineering from the Massachusetts Institute of Technology. It required the completion of 144 units of grad work and an original thesis. Howard: It’s not about the money. It’s about solving a problem. It’s why I became an engineer. It’s what I like to do, it’s what I’m trained to do. It’s who I am. Howard: I have a master’s degree. Howard: Troll master. Howard: I have a Masters degree from M.I.T. Sheldon: Satellites are down. Solar flares. Howard: So, what do you say, you wanna repair to Castle Wolowitz? Bernadette: Hey, Romeo. Repair your relationship on your own time. Sheldon: Perhaps two. I’d like to master the craft. Howard: Don’t you think I should answer the engineering questions? I am an engineer. Howard: You could put it in a satellite or a rocket, and it’ll run forever. Leonard: Howard, this is big science. You could be the engineer who builds the equipment that puts us on the cover of magazines. Leonard: She was mad at him. She was done with him, the relationship was broken beyond repair and I walked over there and I fixed it!",Howard
What is Amy Fowler's middle name,,Farrah
What is Amy's middle name,,Farrah
What is the middle name of Amy Fowler,"Bernadette: Did she have a middle name? Howard: Never should have told you my middle name. Howard: His middle name is David. Go. : Amy Farrah Fowler. Amy: And I’m Dr. Amy Farrah Fowler. Amy: And I’m Dr. Amy Farrah Fowler. Amy: And I’m Dr. Amy Farrah Fowler. Leonard: For example, tonight no-one needs to know that my middle name is Leakey. Mrs Fowler: Amy, what is he saying? Amy: And Dr. Amy Farrah Fowler present… Raj: Why, yes, I love to party. Party is my middle name. Or it would be, if it weren’t Ramayan. Sheldon: Trouble is my middle name, Leonard. Actually, it’s Lee, but I prefer Trouble. Amy: What’s that little dot in the middle? Amy: It’s our pleasure. I’m Dr. Fowler, and I’m a neuroscientist. Sheldon: Amy Farrah Fowler, that’s the most pragmatic thing anyone has ever said to me. Amy: Excuse me. I’m Amy Farrah Fowler. You’re Sheldon Cooper. Raj: But it’s true. But we-we put all your vital information into this dating site, answered all their questions just like you would, and they found a match for you. Her name is Amy Farrah Fowler. Amy: Oh. What was her name? Sheldon: Greetings. You all remember Amy Farrah Fowler. Sheldon: All right, everyone pay attention. Yes, I have a friend named Amy Farrah Fowler. Yes, she is female. Yes, we communicate on a daily basis, but no, she is not my girlfriend. Bernadette: Did she have a middle name? Howard: Never should have told you my middle name. Howard: His middle name is David. Go. : Amy Farrah Fowler. Amy: And I’m Dr. Amy Farrah Fowler. Amy: And I’m Dr. Amy Farrah Fowler. Amy: And I’m Dr. Amy Farrah Fowler. Leonard: For example, tonight no-one needs to know that my middle name is Leakey. Mrs Fowler: Amy, what is he saying? Amy: And Dr. Amy Farrah Fowler present… Raj: Why, yes, I love to party. Party is my middle name. Or it would be, if it weren’t Ramayan. Sheldon: Trouble is my middle name, Leonard. Actually, it’s Lee, but I prefer Trouble. Amy: What’s that little dot in the middle? Amy: It’s our pleasure. I’m Dr. Fowler, and I’m a neuroscientist. Sheldon: Amy Farrah Fowler, that’s the most pragmatic thing anyone has ever said to me. Amy: Excuse me. I’m Amy Farrah Fowler. You’re Sheldon Cooper. Raj: But it’s true. But we-we put all your vital information into this dating site, answered all their questions just like you would, and they found a match for you. Her name is Amy Farrah Fowler. Amy: Oh. What was her name? Sheldon: Greetings. You all remember Amy Farrah Fowler. Sheldon: All right, everyone pay attention. Yes, I have a friend named Amy Farrah Fowler. Yes, she is female. Yes, we communicate on a daily basis, but no, she is not my girlfriend.",Farrah
Who want to depart in the Starship Enterprise in a one-man shuttle craft,": I can’t believe you think he only wears it on Halloween. Open the landing bay doors, shuttle craft approaching. Scene: The craft museum. Raj: Okay. Did we at least rent the car from Enterprise? Get it? Enterprise? Screw you. That’s funny. Sheldon: Perhaps two. I’d like to master the craft. : Relax, he’s got headphones on. And we’re ten miles above Earth in a starship. Leonard: Howard, artificial women are your department. You want to take this? Amy: Basket weaving at the craft museum. Sheldon: No. If I got on the bridge of the Enterprise, I would never, ever leave. Amy: There’s a craft and folk art museum on Wilshire. Spock: If I told you to jump off the bridge of the Enterprise, would you do it? Penny: Sorry. Okay, who wants syrup and who wants cinnamon sugar? Howard: How could that be a miss? C-6 was a hit, C-8 was a hit. Part of your starship has to be on C-7. Bernadette: Hang on a second. NASA doesn’t have a shuttle any more. How are you going to get up there? Sheldon: Mr. Spock did not pilot the Enterprise. He was the science officer, and I guarantee you that if he ever saw the Enterprise’s check engine light blinking, he would pull the ship over immediately. Sheldon: They work for SHIELD, which is a sanctioned department of the U.S. Government. Do you work for a sanctioned department of the U.S. Government? Raj: He’s got him there. The D even stands for department. Sheldon: In the prom department. Scene: The Entomology Department. Human Resources Department. Priya: Who wants some more coffee?",Sheldon
Who forged the ring of power in Mount Doom,"Sheldon: If you’re suggesting that that is the actual ring of power forged by Sauron in Mount Doom, I look at you with an expression of exhaustion and ever so slight amusement. Raj: The fires of Mount Doom? Raj: Don’t say your doom. Who opens the door for their doom? Sheldon: Mm. Tough decision. There’s no weaponry from Lord of the Rings, forged in a Chinese sweatshop? Sheldon: What if evil strikes and my power ring runs low? Sheldon: Yes, but they all involve a green lantern and a power ring. Sheldon: You’re a carrier. All these people here are doomed. You’re doomed! Sheldon: Your doom! : Oh, guess who. Raj: Well, that’s it then, we’re doomed. Sheldon: I do. And yet I’m doomed while you live on. Sheldon: Oh, dear Lord, we’re doomed. Sheldon: It won’t work. No way to mount it. Sheldon: Power failure. Implementing power-failure protocol. Penny: Ooh, look who’s out on a date. Pasadena’s favourite power couple, Shamy. Sheldon: It appears to be a Lord of the Rings ring. Howard: I say this ring belongs to the last person who can hold on. Howard: But Batman is a man. You’re talking about a man who would have the powers of a man. That’s just Man-Man. Raj: Indy’s young sidekick from Temple of Doom. Howard: Unless you have the carrot power.",Sauron
What is the first piece of jewellery Penny's boyfriend gave her,,prop from a movie
Who dated dumb guys from the gym,"Penny: Ugh, gotta go back to dating dumb guys from the gym. Howard: Really? That dumb-ass she used to date? That’s hysterical. Zack: She told me she dated a guy named Leonard. Who would have thought it was you? Penny: You’re dating somebody, who is it? Scene: The gym. Scene: The gym. Scene: The gym. Scene: The gym. Scene: The gym. Sheldon: Yeah, but he’s dumb, and his face is dumb. Penny: Okay, good, because there’s this one guy I used to date who’s about to be force-fed wine and cheese if he doesn’t get to the point. Amy: I’m sorry. Who are you dating? Penny: It’s just this guy I used to date. Bernadette: Who’s Siri? Is he dating somebody new? Leonard: Seriously, that guy’s dating two women? Janine: Yep. I got to get a home gym. Sheldon: Oh, I stopped that, it was dumb. Uni, bi, tri, menstrual, all cycles are dumb. Howard: So, who is this guy? Awkward guy: Who are you? Awkward guy: What? Who are you?",Penny
Who dated gym guys,"Penny: Ugh, gotta go back to dating dumb guys from the gym. Zack: She told me she dated a guy named Leonard. Who would have thought it was you? Penny: You’re dating somebody, who is it? Scene: The gym. Scene: The gym. Scene: The gym. Scene: The gym. Scene: The gym. Penny: Okay, good, because there’s this one guy I used to date who’s about to be force-fed wine and cheese if he doesn’t get to the point. Amy: I’m sorry. Who are you dating? Penny: It’s just this guy I used to date. Bernadette: Who’s Siri? Is he dating somebody new? Leonard: Seriously, that guy’s dating two women? Janine: Yep. I got to get a home gym. Howard: So, who is this guy? Awkward guy: Who are you? Awkward guy: What? Who are you? Howard: Sheldon, instead of focusing on Amy dating other guys, maybe you should start thinking about dating another girl. Howard: Three dates means sex? Who knew? Howard: Yeah, she was dating this guy, and I was kind of a jerk to her about it.",Penny
Who had a dating with gym guys,"Penny: Ugh, gotta go back to dating dumb guys from the gym. Zack: She told me she dated a guy named Leonard. Who would have thought it was you? Penny: You’re dating somebody, who is it? Scene: The gym. Scene: The gym. Scene: The gym. Scene: The gym. Scene: The gym. Penny: Okay, good, because there’s this one guy I used to date who’s about to be force-fed wine and cheese if he doesn’t get to the point. Amy: I’m sorry. Who are you dating? Penny: It’s just this guy I used to date. Bernadette: Who’s Siri? Is he dating somebody new? Leonard: Seriously, that guy’s dating two women? Janine: Yep. I got to get a home gym. Howard: So, who is this guy? Awkward guy: Who are you? Awkward guy: What? Who are you? Howard: Sheldon, instead of focusing on Amy dating other guys, maybe you should start thinking about dating another girl. Howard: Three dates means sex? Who knew? Howard: Yeah, she was dating this guy, and I was kind of a jerk to her about it.",Penny
Who had a sexual relationship woth Penny,"Lesley: So, you’re open to a sexual relationship? Leonard: What’s your point? In order to keep having a sexual relationship with Penny, I have to give up everything I believe in, my intellectual integrity, the very nature of who I am? I can’t do that, Howard. Leonard: The guy who seems like an emotionless robot is you, but your relationship with Amy is causing you to transform into a red-blooded man with sexual desires. Sheldon: Oh, good, I used that right. Anyway, you’re aware that Leonard has entered into a new romantic relationship which includes a sexual component? Sheldon: Boy, you’re wound awfully tight for a man who just had sexual intercourse. Sheldon: But wouldn’t you prefer to socialise with Tom, who is a sexually passive outdoorsman. Leslie: Rest assured that any aspects of our sexual relationship regarding your preferences, your idiosyncrasies, your performance, are still protected by the inherent confidentiality of the bedroom. Bernadette: Sexually. Howard: Sexually. Penny: What was all that about me trading sexual favours for material gain? Penny: What about your weird relationship with him? Penny: Okay, maybe she was flirting with him, but who cares? Look, I don’t even know where my relationship is with Leonard is right now. Leonard: No, no, no, no, let’s talk about it. I’m the one who’s made all the effort in this relationship since day one. Please tell me what more I could do? Raj: Look, I’m not the kind of guy who drops his friends just because he’s in a relationship. Leonard: Maybe you should consider women who aren’t in serious relationships with your closest friends? Sheldon: Sexual insecurity. Howard: Sexual needs. Leonard: Is it about the failing state of my relationship with Penny? Excuse me, are you currently involved in a sexual relationship? Sheldon: Beverly pointed out that I’m experiencing insecurities in my relationship with Amy, in the same way that Leonard and Penny are in their relationship.",Leonard
