Query,relevant_transcript,relevance_score,old query
Who broke up with Amy?,(9 1) Bernadette: Think they’ll break up?,1,
Who broke up with Amy?,(8 24) Emily: Are you breaking up with me?,2,
Who broke up with Amy?,(1 11) Raj: The… the picture’s breaking up.,0,
Who broke up with Amy?,"(1 1) Sheldon: You did not break up with Joyce Kim, she defected to North Korea.",0,
Who broke up with Amy?,"(7 16) Leonard: Oh, hey. You guys didn’t break up.",1,
Who broke up with Amy?,(6 2) Bernadette: Are you gonna break up with him?,1,
Who broke up with Amy?,(9 15) Emily: You’re seriously breaking up with me?,2,
Who broke up with Amy?,"(4 18) Priya: Leonard, I’m not breaking up with you.",0,
Who broke up with Amy?,(4 5) Leonard: Why don’t you just break up with her?,1,
Who broke up with Amy?,(5 13) Bernadette: When did you and Leonard break up?,1,
Who broke up with Amy?,"(9 15) Penny: So, you really gonna break up with her?",1,
Who broke up with Amy?,"(7 13) Penny: Listen, I don’t want to break up with you.",1,
Who broke up with Amy?,"(1 1) Leonard: Come on, you know how it is with break-ups.",1,
Who broke up with Amy?,(10 21) Sheldon: You and Leonard don’t have anything in common. Maybe you should break up.,1,
Who broke up with Amy?,"(4 20) Sheldon: All right, get this. Bernadette is thinking about breaking up with Howard.",1,
Who broke up with Amy?,"(7 13) Leonard: Look, if you want to break up, just say it.",1,
Who broke up with Amy?,(9 1) Sheldon: You would never kiss me and make me say I love you and then break up with me.,2,
Who broke up with Amy?,(2 19) Howard: I know you. you’re stupid enough to break it up.,0,
Who broke up with Amy?,"(6 16) Penny: What, what do you mean? Are you breaking up with me?",1,
Who broke up with Amy?,"(9 15) Penny: Well, I have broken up with my fair share of guys. I mean, how many times did I break up with Leonard?",1,
Who broke up with Amy?,"(7 20) Sheldon: You want me to give up string theory for something that’s less advanced? You know, why don’t you break up with Penny and start dating a brown bear?",1,
Who broke up with Amy?,"(8 24) Bernadette: I think if Raj wants to break up with a girl, he can do it.",1,
Who broke up with Amy?,"(4 12) Sheldon: Leonard, please, we can talk during our break. We have one coming up at midnight. We’ll need snacks.",0,
Who broke up with Amy?,"(5 5) Raj: So, what’s gonna happen next? Are you and Bernadette going to break up?",1,
Who broke up with Amy?,"(4 22) Amy: Yeah, yeah. I’m just breaking in some new shoes.",0,
Who broke up with Amy?,(9 3) Penny: Yeah? How did it go? Did she make you crawl into the breaking-up drawer?,0,
Who broke up with Amy?,"(1 17) Leonard: Look, I understand that breaking up with someone can be very painful….",1,
Who broke up with Amy?,(3 19) Wil: Do you think I would really break up a couple just to win a bowling match?,1,
Who broke up with Amy?,(5 5) Bernadette: I don’t know what I’m going to do. I don’t want to break up over this.,1,
Who broke up with Amy?,"(6 3) Sheldon: Yeah, please reserve chitchat for your breaks, Ms. Jenson. FYI, there will be no breaks.",0,
Who broke up with Amy?,"(10 12) Leonard: If I need a break, I’ll ask for a break.",0,
Who broke up with Amy?,(4 22) Amy: I don’t understand. Is this a way to break in new shoes?,0,
Who broke up with Amy?,"(4 20) Leonard: Don’t tell anybody I told you, but I heard she might be breaking up with him.",1,
Who broke up with Amy?,"(7 8) Penny: Yeah, this is none of my business. But why did you break up with him in an e-mail?",1,
Who broke up with Amy?,"(7 8) Lucy: I’m pretty good. Listen, I just wanted to apologize for breaking up with you in an e-mail.",1,
Who broke up with Amy?,"(8 24) Raj: I don’t know, guys. Maybe this relationship isn’t for me. Maybe I should break up with her.",1,
Who broke up with Amy?,(8 24) Howard: Right. You’re gonna break up with a girl who has sex with you. Can you believe this guy?,1,
Who broke up with Amy?,"(4 4) Penny: Uh, not that I know of. Hey, while we’re on the subject, why did you guys break up anyway?",1,
Who broke up with Amy?,(10 11) Sheldon: Amy? Wake up.,0,
Who broke up with Amy?,(9 15) Howard: You’ve been talking about breaking up with Emily forever. Why don’t you just do it already?,1,
Who broke up with Amy?,(10 21) Amy: I thought you were taking a break from women to focus on your career.,0,
Who broke up with Amy?,"(4 24) Leonard: Well, what difference does it make? If you’re moving back to India, we’re obviously breaking up.",1,
Who broke up with Amy?,"(7 13) Penny: Sheldon, take a break.",0,
Who broke up with Amy?,(9 4) Howard: The past was lunch. You know what’s really happening here? Your girlfriend is breaking up our band.,0,
Who broke up with Amy?,(7 24) Sheldon: Can you break a twenty?,0,
Who broke up with Amy?,(9 1) Leonard: Amy broke up with Sheldon.,2,
Who broke up with Amy?,(1 10) Sheldon: Break a leg. (She leaves),0,
Who broke up with Amy?,"(10 21) Bert: Actually, it got me thinking that I shouldn’t flaunt my money to find love. I might break up with Rebecca.",0,
Who broke up with Amy?,"(9 18) Claire: Let me guess, the worst part about breaking up is that she doesn’t have her best friend to talk to any more?",0,
Who broke up with Amy?,"(9 9) Amy (on skype): Hi, Sheldon. What’s up?",0,
Who broke up with Amy?,(6 9) Sheldon: Just breaking in your new car.,0,
Who broke up with Amy?,"(9 12) Amy (on Skype): Hi, Sheldon. What’s up?",0,
Who broke up with Amy?,"(1 16) Howard (picks up a granola bar from the table, breaks off half and puts it in his back pocket.): Oh-oh. (Louder) Oh-oh!",0,
Who broke up with Amy?,"(9 1) Sheldon: Amy, I don’t understand, are we broken up or not? It’s like you can’t make up your mind.",2,
Who broke up with Amy?,"(9 6) Sheldon: Finally, something breaks our way.",0,
Who broke up with Amy?,(5 20) Sheldon: Big fat whopper. I hope it breaks.,0,
Who broke up with Amy?,"(10 11) Stuart: Uh, yeah, I got something. Raj, not everybody could be a dog owner. Oh, what? Did your doggie break up with you too?",1,
Who broke up with Amy?,"(7 21) Amy: I’m sorry, I just needed a break from hearing you obsess about what to do after string theory.",0,
Who broke up with Amy?,"(6 11) Sheldon: Amy, from time to time, we men need to break free from the shackles of civility and get in touch with our primal animalistic selves.",0,
Who broke up with Amy?,"(7 20) Sheldon: Break it off, shake hands, walk away.",0,
Who broke up with Amy?,"(3 14) Penny: Hey, you know what, Leonard, I know I said I could handle your roommate, but I was wrong. We’re going to have to break up.",1,
Who broke up with Amy?,(6 15) Amy: What? Why? Is it the message? I only used urban slang to sound tough so people wouldn’t break in.,0,
Who broke up with Amy?,"(6 13) Amy: No. Hulk picked up Thor, Thor picked up the hammer.",0,
Who broke up with Amy?,"(6 2) Bernadette: Don’t worry. You’ll have plenty of chances to break up with him. Your wedding day, your honeymoon, your 50th anniversary.",1,
Who broke up with Amy?,"(7 10) Penny: It’s like if you’re dating someone you’re not that into, and then they break up with you and then you want them more than ever.",1,
Who broke up with Amy?,"(1 3) Penny: It’s just, it’s my pattern. I break up, then I find some cute guy, and then it’s just thirty six meaningless of… well, you know.",1,
Who broke up with Amy?,"(5 10) Sheldon (inside): (Knock, knock, knock) Amy. (Knock, knock, knock) Amy. (Knock, knock, knock) Amy. Let’s wrap things up out there.",1,
Who broke up with Amy?,"(10 17) Amy: Sheldon, women can wear make up, it’s not lying.",0,
Who broke up with Amy?,(10 18) Sheldon: I thought that was gonna break the other way.,0,
Who broke up with Amy?,"(1 3) Penny: Okay, well, you know, it’s just me. I’m still getting over this break-up with Kurt, and this thing with Doug would be just rebound sex.",0,
Who broke up with Amy?,(10 9) Amy: What’s up?,0,
Who broke up with Amy?,(10 15) Amy: I give up.,0,
Who broke up with Amy?,"(10 19) Amy: Number three, to avoid getting frustrated, we take built-in breaks and reward our successes with a small treat.",0,
Who broke up with Amy?,"(10 5) Sheldon: I was 13 years old, and on spring break from college.",0,
Who broke up with Amy?,"(2 22) Sheldon: Oh, an excellent idea! I could certainly use a break.",0,
Who broke up with Amy?,(6 15) Sheldon: Great. Kick him out. Break his heart. Everybody wins.,0,
Who broke up with Amy?,"(6 13) Amy: You can’t pick something up in outer space. In space, there is no up.",0,
Who broke up with Amy?,(9 2) Amy: I’m hanging up.,0,
Who broke up with Amy?,(7 17) Amy: No. What’s up?,0,
Who broke up with Amy?,"(7 6) Penny: Uh, Sheldon, you want to take a break? Your food’s ready.",0,
Who broke up with Amy?,(6 21) Amy: Let’s box it up.,0,
Who broke up with Amy?,"(6 18) Amy: Sheldon, all Snow White needs is one little kiss to wake up.",0,
Who broke up with Amy?,(7 24) Sheldon: No. I’ve reached my breaking point. I need to leave. Now.,0,
Who broke up with Amy?,"(4 20) Raj: I was when I came in, but it’s amazing what liquor does to guilt. Besides what you might not know is, Bernadette is planning on breaking up with Howard.",1,
Who broke up with Amy?,"(4 1) Penny: Any follow up, Amy?",0,
Who broke up with Amy?,(10 12) Penny: You need a break?,0,
Who broke up with Amy?,(6 24) Amy: Does he ever shut up?,0,
Who broke up with Amy?,"(9 14) Amy: S, s, si, size me up?",0,
Who broke up with Amy?,"(10 20) Sheldon: Gentlemen, I’ve got Amy up and running. Shall we get to work?",0,
What did the air force contact Howard about?,(10 2) Howard: The Air Force contacted me about our quantum gyroscope. They want to have a meeting.,2,air force and quantam gyroscope
What did the air force contact Howard about?,(10 1) Air Force Officer: Is he here?,1,
What did the air force contact Howard about?,"(10 1) Air Force Officer: No, you may not.",1,
What did the air force contact Howard about?,(10 1) Air Force Officer: Have him call me.,1,
What did the air force contact Howard about?,(10 1) Air Force Officer: I’m looking for Howard Wolowitz.,1,
What did the air force contact Howard about?,(10 1) Air Force Officer: Do you know where I can find him?,1,
What did the air force contact Howard about?,"(10 1) Air Force Officer: I have the right address, don’t I?",1,
What did the air force contact Howard about?,(10 23) Leonard: I can’t believe the Air Force would treat us like that.,2,
What did the air force contact Howard about?,"(9 24) Howard: Thanks. Hey, I just got an e-mail from the U.S. Air Force.",1,
What did the air force contact Howard about?,"(10 20) Leonard: Oh, I would, but we need to make a push on the air force project.",1,
What did the air force contact Howard about?,"(10 15) Leonard: That’s great, but the Air Force approved the specs. We’re good to go.",1,
What did the air force contact Howard about?,(10 3) Leonard: We only have two months to deliver this to the Air Force because of you.,1,
What did the air force contact Howard about?,(10 20) Sheldon: What’s the big deal? It’s full of classified information about the air force project.,1,
What did the air force contact Howard about?,"(9 24) Howard: I don’t know what to do. It’s the Air Force. I mean, should I respond to their e-mail? Ignore it?",1,
What did the air force contact Howard about?,"(10 23) Amy: You know, what you need to do is put this Air Force project behind you and just dive into something new.",1,
What did the air force contact Howard about?,"(10 2) Bernadette: I’m worried about Howard. Ever since that guy from the Air Force showed up, he’s been a nervous wreck.",1,
What did the air force contact Howard about?,"(9 6) Sheldon: That’s true. There’s the U.S. Air Force, U.S. Department of Defence, U.S. Navy, you and I are going to jail.",1,
What did the air force contact Howard about?,"(10 23) Sheldon: Am I? Yesterday I had an Air Force project, a girlfriend who lived with me, and my good friend Raj right across the hall.",1,
What did the air force contact Howard about?,"(10 23) Sheldon: You know, I have a good mind to stop paying my taxes. It’s too bad I enjoy doing them so much. The Air Force did it again. They’re erasing our lives.",1,
What did the air force contact Howard about?,"(10 23) Leonard: Hey, a toast. Thank you all for your support while we worked on our Air Force project. And please know that we could not have done it without you, so cheers.",1,
What did the air force contact Howard about?,"(5 17) Sheldon: Use the force, Sheldon. Use the force. (Throws ball. It goes about two feet in front of him.) I’m gonna need more force.",0,
What did the air force contact Howard about?,"(9 24) Raj: Okay, look, I’m on the Air Force Web site, and the department that e-mailed you is in charge of acquisitions. So maybe they just want to give you a lot of money for your invention.",1,
What did the air force contact Howard about?,"(10 3) Leonard: Sheldon. We are dealing with an impossible deadline from the Air Force because of you. So have an energy drink, don’t have an energy drink. Order suppositories and shove ’em wherever you want, I don’t care.",1,
What did the air force contact Howard about?,"(10 2) Scene: The same, shortly after, demonstrating the quantum gyroscope.",2,
What did the air force contact Howard about?,"(10 2) Colonel Williams: I should have known. Behind every great invention is an MIT mind. I’ll cut to the chase. The Air Force believes there’s an application for this technology, and we’re interested in funding your research.",0,
What did the air force contact Howard about?,(10 20) Amy: Why did you tell Leonard you’re working on the gyroscope tomorrow?,1,
What did the air force contact Howard about?,(10 19) Sheldon: Things have been going really well with the infinite resistance gyroscope.,1,
What did the air force contact Howard about?,"(9 22) Howard: Well, we’re using quantum vortices to replace gyroscopes in guidance systems.",1,
What did the air force contact Howard about?,"(10 11) Leonard: Sheldon, Howard and I are working with the government on our quantum gyroscope.",2,
What did the air force contact Howard about?,(4 6) Leonard: Air freshener.,0,
What did the air force contact Howard about?,"(9 16) Howard: Well, if you made a guidance system, couldn’t you use those vortices as a gyroscope?",1,
What did the air force contact Howard about?,"(7 9) Penny: Ugh, I need some air.",0,
What did the air force contact Howard about?,(7 20) Howard: I need some fresh air.,0,
What did the air force contact Howard about?,(2 5) Leonard: You don’t need air bags.,0,
What did the air force contact Howard about?,"(1 3) Penny: Wow, centrifugal force!",0,
What did the air force contact Howard about?,"(2 5) Sheldon: Click. Now, are there air bags?",0,
What did the air force contact Howard about?,"(9 18) Sheldon: To be clear, Leonard is referring to the gyroscope, not the T-shirt and mugs. Oh, now they own the mugs.",0,
What did the air force contact Howard about?,(4 12) Howard: We’re going to be hundred-aires.,0,
What did the air force contact Howard about?,"(9 22) Leonard: Fine. Preliminary trial of the infinite persistence gyroscopic navigational system, phase one commencing.",0,
What did the air force contact Howard about?,(3 15) Leonard: How does that involve air travel?,0,
What did the air force contact Howard about?,(8 12) Leonard: I did not force you to go to that.,0,
What did the air force contact Howard about?,(7 22) Leonard: May the force be with you. Get it?,0,
What did the air force contact Howard about?,(1 12) Sheldon: I sense a disturbance in the force.,0,
What did the air force contact Howard about?,(4 17) Raj: I still wear mine when there’s a nip in the air.,0,
What did the air force contact Howard about?,(8 4) Penny: How? You can’t force someone to like you.,0,
What did the air force contact Howard about?,"(4 21) Sheldon: According to the roommate agreement, paragraph nine, subsection B, the right to bathroom privacy is suspended in the event of force majeure. And believe me, I am experiencing a very majeure force.",0,
What did the air force contact Howard about?,(10 13) Raj: Why do you bounce with your hands in the air like that?,0,
What did the air force contact Howard about?,"(1 4) Scene: Both Leonard and Penny laugh, a little too forced.",0,
What did the air force contact Howard about?,"(5 8) Leonard: Come on, it’s your turn. We said we’d get more fresh air.",0,
What did the air force contact Howard about?,"(2 7) Sheldon: Woman, you are playing with forces beyond your ken.",0,
What did the air force contact Howard about?,(8 12) Penny: Do I really force you to do things you don’t want to?,0,
What did the air force contact Howard about?,"(9 18) Attorney: So, I’ve reviewed your paperwork, and it seems like we’ve got everything we need to file a patent for your infinite persistence gyroscope.",0,
What did the air force contact Howard about?,(4 15) Sheldon: Aha! The tear-stained air mattress in the back of the van.,0,
What did the air force contact Howard about?,"(10 22) Penny: Yes, yes, he’s working for the government on an infinite persistence gyroscope. Of course, the first time I say it right, he’s not even here.",2,
What did the air force contact Howard about?,"(5 12) Sheldon: Mm-hmm. Mm-hmm. Ooh, 101! Air’s getting a bit thin up here.",0,
What did the air force contact Howard about?,(8 3) Bernadette: But they throw an actual ball. You were throwing air at a TV.,0,
What did the air force contact Howard about?,(8 13) Sheldon: I’ve been cooped up in here too long. Maybe I need some fresh air.,0,
What did the air force contact Howard about?,(7 24) Sheldon: How dare the university force me to go back to string theory?,0,
What did the air force contact Howard about?,"(9 20) Sheldon: Oh, it’s car air freshener. I was simulating the smell of the forest.",0,
What did the air force contact Howard about?,"(1 8) Howard: Neither do I. Doogie Howser’s been off the air for like, twenty years.",0,
What did the air force contact Howard about?,"(1 8) Raj: So you’re a dental student? Hmm, are you aware that dentists have an extremely high suicide rate? Not as high as, say, air traffic controllers, but then there are far more dentists than air traffic controllers, so in pure numbers you’re still winning.",0,
What did the air force contact Howard about?,"(10 4) Sheldon: You, too. Oh, don’t forget. Tuesday the air filters need to be changed.",0,
What did the air force contact Howard about?,(2 1) Sheldon: I’ve never slept on an air mattress before. No lumbar support whatsoever.,0,
What did the air force contact Howard about?,"(8 8) Penny: Not always. Unless your date drives a van with an air mattress, then always.",0,
What did the air force contact Howard about?,"(7 6) Raj: Oh, oh, uh, you could, uh, stand outside his window with a boom box in the air.",0,
What did the air force contact Howard about?,"(5 17) Howard: I guess. Still, it’s a shame Professor Rothman was forced to step down.",0,
What did the air force contact Howard about?,(5 15) Howard: Mass. That’s a cool nickname. ‘Cause force equals mass times acceleration.,0,
What did the air force contact Howard about?,(5 17) Scene: Rothman’s office. Sheldon is trying to affix paper over a fiercely blowing air vent.,0,
What did the air force contact Howard about?,"(7 7) Sheldon: No, no, now that we’ve cleared the air, I wanted to discuss another matter with you.",0,
What did the air force contact Howard about?,"(2 6) Raj: I love this time of the year. The leaves are turning, there’s a bracing chill in the air.",0,
What did the air force contact Howard about?,"(3 10) Penny: Hey, Leonard, check this out. (Throws some food in the air and catches it in her mouth)",0,
What did the air force contact Howard about?,"(6 23) Lucy: Oh, it’s okay. I’ve been trying to force myself to do things that make me scared.",0,
What did the air force contact Howard about?,"(7 17) Howard: Oh, he’s not coming out until he sees proof you don’t have an air freshener in your car.",0,
What did the air force contact Howard about?,(1 4) Sheldon: Or the first door closing causes a change of air pressure that acts upon the second door.,0,
What did the air force contact Howard about?,"(7 15) Sheldon: For starters, a bed-and-breakfast forces you to eat with strangers at your table.",0,
What did the air force contact Howard about?,"(3 13) Sheldon: What if someone kidnaps me, forces me to record my voice, and then cuts off my thumb?",0,
What did the air force contact Howard about?,(1 11) Leonard: No problem. Welcome home. (Sees Penny out. Turns to find Sheldon spraying the air with Lysol.),0,
What did the air force contact Howard about?,"(3 23) Sheldon: I would snort in derision and throw my arms in the air, exhausted by your constant tomfoolery.",0,
What did the air force contact Howard about?,"(5 23) Howard: No, come on. How cool would that be? Me running into your arms, you lifting me up into the air.",0,
What did the air force contact Howard about?,"(8 23) Leonard: No need to. As soon as she flies into California airspace, I’ll feel a disturbance in the Force.",0,
What did the air force contact Howard about?,"(8 21) Sheldon: All right, you can’t breathe our air without an inhaler, he’s allergic to Earth nuts, but I’m the alien.",0,
What did the air force contact Howard about?,(10 3) Sheldon: I had a bad dream that my best friend became a tyrant and forced me to stay up all night to work.,0,
What did the air force contact Howard about?,"(5 19) Raj: Just leave! Okay, now. This is the way it’s supposed to be. Men together, fighting the forces of evil.",0,
What did the air force contact Howard about?,"(6 18) Sheldon: Howard’s disturbing recollections aside, I don’t appreciate being forced to do banal committee work.",0,
What did the air force contact Howard about?,"(3 10) Sheldon: Now, remember, Newton realized that Aristotle was wrong and force was not necessary to maintain motion. So let’s plug in our 9.8 meters per second squared as A and we get force, Earth gravity, equals mass times 9.8 meters per second per second. So we can see that MA equals MG and what do we know from this?",0,
What did the air force contact Howard about?,"(1 3) Leonard: Actually, it’s centripetal force, which is an inward force generated by the glass acting on the olive. (The olive drops.) Excuse me. (Leonard disappears under table.)Now, if you were riding on the olive, you’d be in a non-inertial reference frame, and would (he bangs his head on the underside of the table.)",0,
What did the air force contact Howard about?,(6 14) Sheldon: Tea is for when I’m upset. I’m not upset. The university’s forcing me to work with Kripke. I’m outraged.,0,
What did the air force contact Howard about?,(2 4) Sheldon: I had to sanitize my hands because the university replaced the paper towels in the rest rooms with hot air blowers.,0,
What did the air force contact Howard about?,"(8 6) Sheldon: You tell me. I feel like I can’t breathe, and I am tempted to crack you open and suck the air right out of your lungs.",0,
What did the air force contact Howard about?,"(4 10) Sheldon: A cross we all must bear. You know, in difficult moments like this, I often turn to a force greater than myself.",0,
What did the air force contact Howard about?,(8 2) Sheldon: Thank you. I assume you’d like to reopen our dialogue about the university forcing me to continue with string theory?,0,
What did the air force contact Howard about?,"(8 21) Sheldon: I’m attempting to turn over a new leaf. Earlier today, it was pointed out to me that I tend to force my ideas on people.",0,
What did the air force contact Howard about?,"(4 22) Sheldon: Yes, and he never unified gravity with the other forces. If he hadn’t been such a hound dog, we’d all have time machines.",0,
What did the air force contact Howard about?,"(1 13) Gablehouser: Terrific. Next question, what is the force between two uncharged plates due to quantum vacuum fluctuation. (Buzz) PMS?",0,
What did the air force contact Howard about?,"(5 7) Penny: Okay, good, because there’s this one guy I used to date who’s about to be force-fed wine and cheese if he doesn’t get to the point.",0,
What did the air force contact Howard about?,"(8 22) Sheldon: At the end of the ceremony, all the students throw those pointy hats in the air. It’s all pomp and circumstance until someone loses an eye.",0,
What did the air force contact Howard about?,"(6 5) Howard: Boy, it’s nice to sleep in a bed with gravity again. Did I tell you about the night my retainer floated out of my mouth and into the air lock?",0,
What did the air force contact Howard about?,"(6 6) Sheldon: Yes. I play the word quiver with a triple letter and a double word score for 72 points. That ought to let the air out of your tyres, Hawking.",0,
What did the air force contact Howard about?,"(10 11) Sheldon: I’m not sure. Earlier tonight, things began organically, and now it’s feeling forced, like all the Pirates of the Caribbean sequels.",0,
What did the air force contact Howard about?,"(3 7) Penny: Like what? Yeah, yeah, I see you, you’re making a little cheque sign in the air, I got it, just hold your horses. What does Leonard complain about?",0,
What theme of dinner party did Raj like?,"(6 8) Raj: Ooh, this is exciting. Like one of my classic murder mystery dinner parties.",2,murder mystery dinner party
What theme of dinner party did Raj like?,"(7 3) Raj: So, couldn’t help but notice none of you RSVP’d to my murder mystery dinner party.",2,
What theme of dinner party did Raj like?,(7 3) Raj: I invited you to my murder mystery party.,2,
What theme of dinner party did Raj like?,(7 18) Raj: Welcome to another classic Koothrappali murder mystery dinner.,2,
What theme of dinner party did Raj like?,"(7 3) Raj: Don’t worry, I can take a hint. No more murder mystery parties.",2,
What theme of dinner party did Raj like?,(7 18) Raj: You can’t leave. You’re a suspect in the mysterious murder of Stuart Bloom.,1,
What theme of dinner party did Raj like?,"(1 10) Sheldon: It’s a very nice community. The Queen Mary is docked there, once the largest ocean liner in the world, it’s now a hotel and restaurant where they host a surprisingly gripping murder mystery dinner.",2,
What theme of dinner party did Raj like?,"(6 19) Raj: Well, put your mind at ease. I’m here to make sure your dinner party kicks Howard’s dinner party’s ass. Now, the first thing we need is a theme. I’m thinking, ah, turn-of-the-century Moulin Rouge.",1,
What theme of dinner party did Raj like?,"(10 6) Sheldon: All right, fine. Let’s say that we were to entertain people. What type of gathering did you have in mind? Huh? A meal? Lunch? Brunch? Dinner? Afternoon tea? A formal tea? Hmm? Is it a party? And if so, what kind of party? Is it a cocktail party? A Tupperware party? Ooh, is it a surprise party? Oh, I hope it’s not a West Coast party, ’cause according to the man on the radio, a West Coast party don’t stop.",0,
What theme of dinner party did Raj like?,"(6 19) Leonard: Mm, you know, we could throw a dinner party, too. Maybe even ask everyone to get dressed up.",1,
What theme of dinner party did Raj like?,"(6 19) Leonard: Well, it’s just kind of weird how grown up he is now. Happily married guy throwing dinner parties.",1,
What theme of dinner party did Raj like?,(7 3) Sheldon: I’m sorry. Are we really doing this or are we tricking Koothrappali again like with the dinner party?,1,
What theme of dinner party did Raj like?,"(7 18) Penny: Got it. Hey, who’s the murderer?",1,
What theme of dinner party did Raj like?,"(9 13) Raj: Yeah, that sounds fun. A party-bus party don’t stop. Ooh, when I say party, you say bus.",0,
What theme of dinner party did Raj like?,"(7 18) Penny: Sorry. Hey, who’s not the murderer?",1,
What theme of dinner party did Raj like?,(3 12) Raj: The mysterious subcontinent of India.,0,
What theme of dinner party did Raj like?,(6 19) Penny: Party’s over! Party’s over!,0,
What theme of dinner party did Raj like?,(7 18) Raj: He’s been murdered by someone in this room.,1,
What theme of dinner party did Raj like?,"(6 8) Raj: Really? Well, oh, okay, one mystery solved.",0,
What theme of dinner party did Raj like?,"(7 18) Penny: Aw, Stuart. Now I feel bad for murdering you.",1,
What theme of dinner party did Raj like?,(3 17) Raj: Who’s this mysterious buddy you suddenly have?,0,
What theme of dinner party did Raj like?,(7 17) Amy: Why can’t Raj find a girl? The mystery continues.,0,
What theme of dinner party did Raj like?,"(9 17) Penny: Yeah, birthday party first. Pity party later.",0,
What theme of dinner party did Raj like?,"(9 21) Penny: Okay, well, that was murder, this was an accident.",0,
What theme of dinner party did Raj like?,"(8 13) Sheldon: Boy, I’m not nearly as mysterious as I think I am.",0,
What theme of dinner party did Raj like?,(9 6) Bernadette: Doesn’t a teardrop tattoo mean he murdered someone?,0,
What theme of dinner party did Raj like?,"(6 5) Raj: Yeah, you’ll love it. Ain’t no party like a Koothra-party.",0,
What theme of dinner party did Raj like?,(7 18) Leonard: So one of us came back from the future to murder Stuart?,1,
What theme of dinner party did Raj like?,(5 20) Raj: I’m not telling. I’m from Asia. I’m mysterious. Deal with it.,0,
What theme of dinner party did Raj like?,"(9 8) Bernadette: Ooh, tall. Finally some details about this mystery man.",0,
What theme of dinner party did Raj like?,(2 9) Leonard: The blunt instrument that will be the focus of my murder trial?,0,
What theme of dinner party did Raj like?,"(6 8) Leonard: Right, the case of who murdered three Saturday nights of my life?",0,
What theme of dinner party did Raj like?,"(5 8) Sheldon: Ah. New topic. Women, delightfully mysterious or bat-crap crazy?",0,
What theme of dinner party did Raj like?,"(10 11) Amy: You hate Scotch tape, but you love Scotch plaid. You are a mystery.",0,
What theme of dinner party did Raj like?,"(10 2) Leonard: Someday, when I’m up on murder charges, you’ll be hearing from me.",0,
What theme of dinner party did Raj like?,"(9 22) Sheldon: Well, little lady, you’ve heard of party hearty, get ready to party hardly.",0,
What theme of dinner party did Raj like?,"(9 21) Sheldon: Well, we’re only watching Game of Thrones. A party sub implies it’s a party.",0,
What theme of dinner party did Raj like?,"(1 12) Leonard: Hang on, are we talking about murdering Dennis Kim? I’m not saying no.",0,
What theme of dinner party did Raj like?,"(7 3) Sheldon: I don’t think thatqualifies as a mystery, we all knew what we were doing.",0,
What theme of dinner party did Raj like?,"(2 21) Raj: Why, yes, I love to party. Party is my middle name. Or it would be, if it weren’t Ramayan.",0,
What theme of dinner party did Raj like?,"(6 24) Sheldon: This is ridiculous, we’re shopping for a party and this store doesn’t even have a party section.",0,
What theme of dinner party did Raj like?,(4 10) Amy: It’s no mystery. I obviously have the flu coupled with sudden-onset Tourette’s syndrome.,0,
What theme of dinner party did Raj like?,"(9 22) Sheldon: You, you and I spend a lot of time together. Can there be a little mystery between us?",0,
What theme of dinner party did Raj like?,"(5 13) Sheldon: Again, not enough evidence. For all we know, he’s being murdered. Now, back to our game.",0,
What theme of dinner party did Raj like?,"(1 10) Leonard: Let it go, Sheldon, the murderer was the first mate whether it makes sense to you or not.",0,
What theme of dinner party did Raj like?,"(10 24) Sheldon: Well, I’m a lot less likely to see an Eastern Goldfinch or be murdered, I’ll tell you that.",0,
What theme of dinner party did Raj like?,"(9 13) Sheldon: You know, I liked it better when there was still a little mystery left in our relationship.",0,
What theme of dinner party did Raj like?,"(8 17) Raj: But remember our agreement? You can joke about murdering people, but you have to say just kidding.",0,
What theme of dinner party did Raj like?,"(4 24) Raj: Sheldon, dinner!",0,
What theme of dinner party did Raj like?,"(6 15) Sheldon: Yes. Amy, are you worried that us living together will take the mystery out of our relationship?",0,
What theme of dinner party did Raj like?,(6 24) Lucy: A party?,0,
What theme of dinner party did Raj like?,(2 23) Leonard: Dinner’s ready!,0,
What theme of dinner party did Raj like?,(2 6) Sheldon: I do eat dinner.,0,
What theme of dinner party did Raj like?,(9 19) Howard: Ready for dinner?,0,
What theme of dinner party did Raj like?,(4 15) Scene: The party.,0,
What theme of dinner party did Raj like?,(4 15) Scene: The party.,0,
What theme of dinner party did Raj like?,(1 6) Leonard: A party?,0,
What theme of dinner party did Raj like?,"(8 3) Penny: Hey, how was dinner?",0,
What theme of dinner party did Raj like?,(4 11) Scene: The party.,0,
What theme of dinner party did Raj like?,(2 6) Ramona: We’re having dinner.,0,
What theme of dinner party did Raj like?,(4 15) Howard: Hey. How was dinner?,0,
What theme of dinner party did Raj like?,(3 10) Penny: Just eat your dinner.,0,
What theme of dinner party did Raj like?,"(5 3) Howard: So, dinner went nice.",0,
What theme of dinner party did Raj like?,"(10 3) Amy: Well, to be honest, it’s not like a party party, it’s more like a gathering where scientists of different disciplines get together to share their work and keep current on what’s going on in other fields. I don’t know why I called it a party, sorry.",0,
What theme of dinner party did Raj like?,"(5 4) Howard: So, what’s for dinner?",0,
What theme of dinner party did Raj like?,"(5 23) Mr. Rostenkowski: Last murder case before I retired. How many bodies do you see there? Careful, it’s a trick question.",0,
